"INSTNM","CITY","STABBR","LATITUDE","LONGITUDE","ADM_RATE_ALL","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","MD_EARN_WNE_P10"
"Butte College","Oroville","CA",39.649782,-121.644831,NA,14811,1336,7816,37568
"California Institute of Integral Studies","San Francisco","CA",37.774924,-122.416102,NA,NA,NA,NA,35813
"Cabrillo College","Aptos","CA",36.989448,-121.924797,NA,22496,1262,8630,40878
"California Baptist University","Riverside","CA",33.929321,-117.425619,0.79918996603083,49531,38058,38058,56253
"California College of the Arts","San Francisco","CA",37.767485,-122.399451,0.75694676933377,74618,54706,54706,49184
"University of California-Hastings College of Law","San Francisco","CA",37.781137,-122.4157,NA,NA,NA,NA,NA
"California Institute of Technology","Pasadena","CA",34.137349,-118.125878,0.0269457476242,79947,60864,60864,104209
"California Lutheran University","Thousand Oaks","CA",34.224566,-118.878924,0.87184466019417,60992,48012,48012,65401
"California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA",35.299513,-120.657311,0.30430122162861,29680,10319,28229,85801
"Alliant International University-San Diego","San Diego","CA",32.897056,-117.094398,0,NA,13680,13680,63932
"California State University-Bakersfield","Bakersfield","CA",35.350005,-119.104711,0.86547636258493,18410,7637,19517,55530
"California State University-Stanislaus","Turlock","CA",37.52577,-120.852511,0.96610169491525,16968,7734,19614,58120
"California State University-San Bernardino","San Bernardino","CA",34.182622,-117.323801,0.91084446164763,18750,7486,19366,55258
"California State Polytechnic University-Pomona","Pomona","CA",34.057912,-117.821476,0.55378063937733,21655,7439,19319,67406
"California State University-Chico","Chico","CA",39.729712,-121.844859,0.95003968809823,24766,7972,19852,61010
"California State University-Dominguez Hills","Carson","CA",33.864766,-118.255917,0.89131228802504,14958,7060,18940,49934
"California State University-Fresno","Fresno","CA",36.811154,-119.744569,0.95428817853485,17508,6663,18543,55534
"California State University-Fullerton","Fullerton","CA",33.881506,-117.885446,0.6672478870928,17337,7007,18887,58585
"California State University-East Bay","Hayward","CA",37.657694,-122.054135,0.96204156969745,20693,6995,18875,64188
"California State University-Long Beach","Long Beach","CA",33.782818,-118.11204,0.39951551165716,18983,6884,18764,60973
"California State University-Los Angeles","Los Angeles","CA",34.066927,-118.168965,0.86941276996965,17010,6805,18685,54219
"California State University-Northridge","Northridge","CA",34.240126,-118.529319,0.91226651261313,19585,7069,18949,56375
"California State University-Sacramento","Sacramento","CA",38.559415,-121.423549,0.93206994777654,21396,7484,19364,61267
"University of California-Berkeley","Berkeley","CA",37.871918,-122.260463,0.11327597906543,41130,14395,44467,88046
"University of California-Davis","Davis","CA",38.539667,-121.749567,0.37338385384233,36975,14858,44930,74305
"University of California-Irvine","Irvine","CA",33.648434,-117.841248,0.21152603803978,34731,13939,44011,76593
"University of California-Los Angeles","Los Angeles","CA",34.07178,-118.442179,0.08574709114091,35689,13401,43473,79826
"University of California-Riverside","Riverside","CA",33.97246,-117.32741,0.68692280964833,34100,13874,43946,63645
"University of California-San Diego","La Jolla","CA",32.877749,-117.235866,0.23707096961058,35274,14906,44978,82255
"University of California-San Francisco","San Francisco","CA",37.763737,-122.458489,NA,NA,NA,NA,NA
"University of California-Santa Barbara","Santa Barbara","CA",34.416297,-119.846426,0.25846209288706,36607,14617,44689,70326
"University of California-Santa Cruz","Santa Cruz","CA",36.995584,-122.058801,0.46920135938827,37707,14240,44312,64166
"Sofia University","Palo Alto","CA",37.430325,-122.10866,NA,NA,NA,NA,NA
